Search_Ref,Authors,Title,Journal,Abstract,Year,Volume,Page_Start,Page_End,Article_Number,DOI,DOI_Link,Screen,Downloaded,Included,Why_Not,Extracted
2022-30,"Madden, SA; McDermott, MT; Safran, RJ","Visitation rate, but not foraging range, responds to brood size manipulation in an aerial insectivore",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,"Life history theory predicts that increased investment in current offspring decreases future fecundity or survival. Avian parental investment decisions have been studied either via brood size manipulation or direct manipulation of parental energetic costs (also known as handicapping). However, we have limited experimental data on the potential interactive effects of these manipulations on parent behavior. Additionally, we know little about how these manipulations affect spatial foraging behavior away from the nest. We simultaneously manipulated brood size and parental costs (via added weight in the form of a GPS tag) in wild female barn swallows (Hirundo rustica). We measured multiple aspects of parent behavior at and away from the nest while controlling for measures of weather conditions. We found no significant interactive effects of manipulated brood size and parental costs. Both sexes increased their visitation rate with brood size, but nestlings in enlarged broods grew significantly less post-brood size manipulation than those in reduced broods. Foraging range area was highly variable among GPS-tagged females but was unaffected by brood size. As such, increased visitation rate in response to brood size may be more energetically costly for far-ranging females. GPS-tagged females did not alter their visitation rate relative to un-tagged birds, but their mates had higher visitation rates. This suggests that GPS tagging may affect some unmeasured aspect of female behavior, such as prey delivery. Our findings indicate that investigation of foraging tactics alongside visitation rate is critical to understanding parental investment and the benefits and costs of reproduction. Significance statement Avian parental investment decisions have been studied by either brood size manipulation or direct manipulation of parental costs, but rarely both simultaneously. We simultaneously manipulated brood size and parental costs (via addition of a GPS tag) in a wild avian system, allowing us to examine interactive effects of these manipulations. Additionally, studies of parental investment often examine behaviors at the nest, but measurements of parental care behavior away from the nest are rare. Our study is unique in that we measured multiple aspects of parental care, including spatial foraging behavior tracked with GPS tags. We found no interactive effects of manipulated brood size and parental costs on visitation rate or nestling growth, and spatial foraging behavior of females was individually variable. Documenting foraging tactics alongside visitation rate is critical to understanding parental investment because the same visitation rate might be more costly for far-ranging females.",2022,76,,,139,10.1007/s00265-022-03244-z,http://dx.doi.org/10.1007/s00265-022-03244-z,1,1,1,,1
2022-31,"Forbes, S; Glassey, B; Wiebe, M",Asymmetric sibling rivalry extends to hosts and brood parasites,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,"Obligate brood parasites rely upon unrelated hosts to provide parental care for their offspring. Specialist brood parasites use visual and vocal mimicry of host offspring to induce host parents to care for the parasite offspring. Generalist brood parasites, however, use different tactics to obtain host parental care. Here, we examine how brown-headed cowbirds (Molothrus ater) restructure host red-winged blackbird (Agelaius phoeniceus) broods and the consequent effects on the expected survival of the brood parasite nestling. Competition within the host brood is governed by an asymmetric sibling rivalry, with the size of the core brood driving the survival of both core and marginal nestlings. Competitively inferior marginal nestlings conversely have little effect on core nestlings. Cowbirds primarily removed core host nestlings when altering the size and structure of host broods. Host brood size at hatching was reduced in conjunction with parasitism by cowbirds. The resulting brood structures differed markedly from those in unparasitized broods with most notably fewer core nestlings, the most potent competitors for the cowbird nestling. Marginal brood size, however, differed only slightly. This reflects the competitive dynamics: core but not marginal brood size affected cowbird survival. The same asymmetric nestling rivalry that governs competition among host nestlings applies to these brood parasitic cowbirds as well; by altering host family structure, they enhanced the effective environment for their nestlings. Significance statement Obligate brood parasites must purloin parental care from unrelated host species to rear offspring. Generalist brood parasites, such as cowbirds, face an especially steep challenge, as the offspring are not visual or vocal mimics of host offspring: they are inserted into the host brood and must compete against host offspring. Here, we show that changes in host brood size and structure associated with cowbird parasitism enhance the effective environment for the brood parasite nestling. Through the removal/damage of host eggs or interference with host egg hatching, host brood size is reduced, and most importantly, the number of first-hatched core offspring that are the most potent competitors for the brood parasite offspring. The same asymmetric sibling rivalry that exists within the host brood extends to competition between host nestlings and brood parasites.",2022,76,,,43,10.1007/s00265-022-03137-1,http://dx.doi.org/10.1007/s00265-022-03137-1,0,,,,
2022-32,"Bennett, S; Girndt, A; Sanchez-Tojar, A; Burke, T; Simons, M; Schroeder, J",Evidence of Paternal Effects on Telomere Length Increases in Early Life,FRONTIERS IN GENETICS,"Offspring of older parents in many species have decreased longevity, a faster ageing rate and lower fecundity than offspring born to younger parents. Biomarkers of ageing, such as telomeres, that tend to shorten as individuals age, may provide insight into the mechanisms of such parental age effects. Parental age may be associated with offspring telomere length either directly through inheritance of shortened telomeres or indirectly, for example, through changes in parental care in older parents affecting offspring telomere length. Across the literature there is considerable variation in estimates of the heritability of telomere length, and in the direction and extent of parental age effects on telomere length. To address this, we experimentally tested how parental age is associated with the early-life telomere dynamics of chicks at two time points in a captive population of house sparrows Passer domesticus. We experimentally separated parental age from sex effects, and removed effects of age-assortative mating, by allowing the parent birds to only mate with young, or old partners. The effect of parental age was dependent on the sex of the parent and the chicks, and was found in the father-daughter relationship only; older fathers produced daughters with longer telomere lengths post-fledging. Overall we found that chick telomere length increased between the age of 0.5 and 3 months at the population and individual level. This finding is unusual in birds with such increases more commonly associated with non-avian taxa. Our results suggest parental age effects on telomere length are sex-specific either through indirect or direct inheritance. The study of similar patterns in different species and taxa will help us further understand variation in telomere length and its evolution.",2022,13,,,880455,10.3389/fgene.2022.880455,http://dx.doi.org/10.3389/fgene.2022.880455,0,,,,
2022-33,"Kumari, R; Fazekas, EA; Morvai, B; Udvari, EB; Dora, F; Zachar, G; Szekely, T; Pogany, A; Dobolyi, A",Transcriptomics of Parental Care in the Hypothalamic-Septal Region of Female Zebra Finch Brain,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,"(1) Background: The objective of this study was to uncover genomic causes of parental care. Since birds do not lactate and, therefore, do not show the gene expressional changes required for lactation, we investigate gene expression associated with parenting in caring and non-caring females in an avian species, the small passerine bird zebra finch (Taeniopygia guttata). Here, we compare expression patterns in the hypothalamic-septal region since, previously, we showed that this area is activated in parenting females. (2) Methods: Transcriptome sequencing was first applied in a dissected part of the zebra finch brain related to taking care of the nestlings as compared to a control group of social pairs without nestlings. (3) Results: We found genes differentially expressed between caring and non-caring females. When introducing a log2fold change threshold of 1.5, 13 annotated genes were significantly upregulated in breeding pairs, while 39 annotated genes were downregulated. Significant enrichments of dopamine and acetylcholine biosynthetic processes were identified among upregulated pathways, while pro-opiomelanocortin and thyroid hormone pathways were downregulated, suggesting the importance of these systems in parental care. Network analysis further suggested neuro-immunological changes in mothers. (4) Conclusions: The results confirm the roles of several hypothesized major pathways in parental care, whereas novel pathways are also proposed.",2022,23,,,2518,10.3390/ijms23052518,http://dx.doi.org/10.3390/ijms23052518,0,,,,
2022-34,"Velasco, AC; Ferrer, ES; Sanz, JJ",Exploratory behaviour and foraging strategies in Mediterranean blue tits,ANIMAL BIODIVERSITY AND CONSERVATION,"Exploratory behaviour and foraging strategies in Mediterranean blue tits. Animal behaviour is potentially a mechanism of individual diet specialization. To explore this possibility we assessed exploratory behaviour (EB) and foraging data for a population of blue tits Cyanistes caeruleus. Our results suggest that: 1) foraging differs between sexes; 2) the prey type selected by females depends on the provisioning rates of their mate, and adjustment of this prey-choice differs between EB phenotypes; and 3) foraging behaviour in males shows a trend towards linkage to their EB phenotype, with faster-exploring males obtaining marginally larger caterpil-lars but provisioning less frequently than slower-exploring males. Lastly, environmental variables contributed substantially to the diet composition of offspring. For this reason, we cannot suggest that EB dominates, but it may contribute to a diet specialization process in our study population.",2022,45,287,+,,10.32800/abc.2022.45.0287,http://dx.doi.org/10.32800/abc.2022.45.0287,1,1,1,,1
2022-35,"Arct, A; Martyka, R; Drobniak, SM; Oles, W; Dubiec, A; Gustafsson, L",Effects of elevated nest box temperature on incubation behaviour and offspring fitness-related traits in the Collared Flycatcher Ficedula albicollis,JOURNAL OF ORNITHOLOGY,"Ambient temperature experienced by an animal during development or subsequently as an adult can affect many aspects of its behaviour and life-history traits. In birds, egg incubation is a vital component of reproduction and parental care. Several studies have suggested that environmental factors (such as nest microclimate) can influence the ability of incubating parents to maintain suitable conditions for embryo development. Here, we manipulated the developmental conditions of embryos through a modification of nest box thermal microclimate to investigate female incubation behaviour and its impact on offspring fitness-related traits in a wild population of the Collared Flycatcher (Ficedula albicollis). The temperature in experimental nests was increased using a heat-pack placed under the roof of a nest box, resulting in an average temperature increase of 2.5 degrees C, which corresponds to projected climate change scenarios. We demonstrated that females from nests with elevated temperature spent less time in the nest box during egg incubation and had more off-bouts than females from control nests. Moreover, we found that offspring from the experimentally heated nests had larger body mass at fledging in comparison to the control ones. Our study indicates that nest microclimate during the incubation period affects female incubation behaviour and offspring quality, indicating that environmental variation in nest temperature early in ontogeny can have important and long-lasting fitness consequences.",2022,163,263,272,,10.1007/s10336-021-01944-3,http://dx.doi.org/10.1007/s10336-021-01944-3,0,,,,
2022-36,"LaPergola, JB; Riehl, C",Opportunity is not everything: genetic monogamy and limited brood parasitism in a colonial woodpecker,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,"Avian social and genetic mating systems are influenced by parental care roles as well as by reproductive opportunities. Alternative reproductive tactics, including conspecific brood parasitism and extra-pair mating, are predicted to be most common when females have access to potential host nests and when adults have access to potential mating partners, respectively. We tested these predictions in the facultatively colonial Hispaniolan woodpecker (Melanerpes striatus), a socially monogamous species with biparental care. Up to 12 pairs may nest concurrently in the same tree or, less frequently, two adjacent trees, potentially facilitating both conspecific brood parasitism and extra-pair mating. Contrary to our predictions, genotyping with single-nucleotide polymorphisms (SNPs) revealed no evidence of extra-pair paternity in either solitary or colonial nests: all 307 nestlings in 101 broods were matched to their social parents. Two instances of apparent conspecific brood parasitism were detected via changes in clutch size, but these could not be confirmed genetically since none of the apparently parasitic eggs survived to hatching. Therefore, if conspecific brood parasitism did occur, it was not a successful route to reproduction: parents fledged only their genetic offspring. These results suggest that reproductive opportunities alone are insufficient to favor alternative reproductive tactics, and that genetic monogamy can persist despite locally high densities of breeding pairs. Other life-history traits, including high levels of nest attendance and male parental care, may constrain parasitism and extra-pair mating in this long-lived tropical species. Significance statement High breeding density, a feature of colonial nesting, should increase opportunities for infidelity and conspecific brood parasitism because of the close proximity of potential extra-pair mates and parasitic females. Yet, we found that Hispaniolan woodpeckers, which nest both solitarily and colonially (two or more pairs in the same tree) in the same population, were genetically monogamous and lacked successful brood parasitism. Colonial nesting is exceptionally rare in the woodpecker family, which is also characterized by high investment in male parental care, including nocturnal incubation. The essential role of paternal care for successful reproduction in the Hispaniolan woodpecker might have selected against extra-pair mating and conspecific brood parasitism despite the apparent ample opportunities provided by nesting so close to others.",2022,76,,,72,10.1007/s00265-022-03178-6,http://dx.doi.org/10.1007/s00265-022-03178-6,0,,,,
2022-37,"Guo, YY; Lu, X",Tibetan birds lay larger but fewer eggs in a clutch,OECOLOGIA,"How do offspring size and number vary along elevational gradients? This is a striking but rarely addressed question in life-history evolution. Here we comparatively explore it using phylogenetically paired passerine birds of lowland China vs. the Tibetan plateau spanning an elevational range of 18-4500 m. Toward the Tibetan plateau, egg size increased, clutch size decreased and total clutch volume (= clutch size x egg size) did not change, when accounting for major confounding factors. Larger eggs and smaller clutches can be a response to harsh abiotic conditions at higher elevations and the corresponding reduction in food resources required for raising young, respectively. There was a negative correlation between egg size and clutch size after controlling for elevation effect on either trait, suggesting that the trade-off contributed to the expression of these two traits across elevations, given the lack of an elevational trend in total clutch volume. Tibetan birds had a shorter breeding season, prolonged incubation and nestling period than their lowland counterparts. While fewer clutches over the short breeding season may facilitate the increase in egg size, the concentration of annual reproductive investment did not seem to act on clutch size; despite the smaller clutches, hard environments may impose greater costs of parental care on Tibetan birds. The current research provides insight into the evolution of avian life histories across elevations.",2022,198,1011,1018,,10.1007/s00442-022-05159-y,http://dx.doi.org/10.1007/s00442-022-05159-y,0,,,,
2022-38,"Cossa, NA; Reboreda, JC; Fiorini, VD",Decision-making at the time of parasitism: cowbirds prefer to peck eggs with weaker shells,ANIMAL COGNITION,"Interspecific avian brood parasites, like cuckoos and cowbirds, lay their eggs in nests of other species, the hosts, which take over the entire parental care of the parasite's eggs and chicks. This breeding strategy requires decisions that may affect the parasite's reproductive success. During the breeding season, cowbirds search for host nests and revisit them to monitor its progress and parasitize at the time host laying begins. When visiting hosts nests, they repeatedly peck the nest contents trying to destroy one or more eggs. This behaviour favours parasite's offspring by reducing the competition for food with nestmates. We evaluated if the egg-pecking behaviour of female shiny (Molothrus bonariensis) and screaming (M. rufoaxillaris) cowbirds is affected by the strength and the size of the eggs they find in the nest. We presented to wild-caught females artificial clutches with two natural eggs that differ in size and shell strength. We found that female shiny and screaming cowbirds adjusted egg-pecking behaviour based on the strength but not on the size of the eggs. When differences in strength between eggs were high, both cowbird species pecked more frequently the egg with the weaker shell, increasing the probability of a successful puncture. Our results indicate that female cowbirds can discriminate eggs through the strength of the shell, and by choosing the weaker egg to peck, they increase the probability of puncturing.",2022,25,275,285,,10.1007/s10071-021-01549-6,http://dx.doi.org/10.1007/s10071-021-01549-6,0,,,,
2022-39,"Burns-Cusato, M; Cusato, B",Naturalistic learning and reproduction in ring neck doves (Streptopelia risoria),LEARNING & BEHAVIOR,"Successful reproduction in avian species requires considerable parental care, and for most species the efforts of both parents are necessary for the survival of offspring. Here we make the case that in these species reproductive interactions are enhanced when neurochemical activity reinforces critical stimuli and behaviors through associative learning. Drawing from research on several different species, we describe evidence for the role of associative learning in the reproductive behaviors of ring neck doves (Streptopelia risoria). A hypothetical mechanism involving a combination of classical and operant conditioning is proposed to explain the formation and maintenance of the pair bond, nest fidelity, and incubation behavior. The role of the opiate system in reinforcing various aspects of reproductive behavior in this and other species is discussed.",2022,50,298,305,,10.3758/s13420-022-00534-4,http://dx.doi.org/10.3758/s13420-022-00534-4,0,,,,
2022-40,"Farrar, VS; Harris, RM; Austin, SH; Ultreras, BMN; Booth, AM; Angelier, F; Lang, AS; Feustel, T; Lee, C; Bond, A; MacManes, MD; Calisi, RM",Prolactin and prolactin receptor expression in the HPG axis and crop during parental care in both sexes of a biparental bird (Columba livia),GENERAL AND COMPARATIVE ENDOCRINOLOGY,"During breeding, multiple circulating hormones, including prolactin, facilitate reproductive transitions in species that exhibit parental care. Prolactin underlies parental behaviors and related physiological changes across many vertebrates, including birds and mammals. While circulating prolactin levels often fluctuate across breeding, less is known about how relevant target tissues vary in their prolactin responsiveness via prolactin receptor (PRLR) expression. Recent studies have also investigated prolactin (PRL) gene expression outside of the pituitary (i.e., extra-pituitary PRL), but how PRL gene expression varies during parental care in non-pituitary tissue (e.g., hypothalamus, gonads) remains largely unknown. Further, it is unclear if and how tissue-specific PRL and PRLR vary between the sexes during biparental care. To address this, we measured PRL and PRLR gene expression in tissues relevant to parental care, the endocrine reproductive hypothalamic-pituitary- gonadal (HPG) axis and the crop (a tissue with a similar function as the mammalian mammary gland), across various reproductive stages in both sexes of a biparental bird, the rock dove (Columba livia). We also assessed how these genes responded to changes in offspring presence by adding chicks mid-incubation, simulating an early hatch when prolactin levels were still moderately low. We found that pituitary PRL expression showed similar increases as plasma prolactin levels, and detected extra-pituitary PRL in the hypothalamus, gonads and crop. Hypothalamic and gonadal PRLR expression also changed as birds began incubation. Crop PRLR expression correlated with plasma prolactin, peaking when chicks hatched. In response to replacing eggs with a novel chick mid-incubation, hypothalamic and gonadal PRL and PRLR gene expression differed significantly compared to mid-incubation controls, even when plasma prolactin levels did not differ. We also found sex differences in PRL and PRLR that suggest gene expression may allow males to compensate for lower levels in prolactin by upregulating PRLR in all tissues. Overall, this study advances our understanding of how tissue-specific changes in responsiveness to parental hormones may differ across key reproductive transitions, in response to offspring cues, and between the sexes.",2022,315,,,113940,10.1016/j.ygcen.2021.113940,http://dx.doi.org/10.1016/j.ygcen.2021.113940,0,,,,
2022-41,"Arslan, NS; Martin, TE",Post-fledging spatial dispersion and movement behaviour differs between cavity-nesting and open-cup nesting passerines,IBIS,"Spatial dispersion and movement behaviour of siblings vary across animal taxa and can affect fitness. The factors underlying why species differ in movement behaviour of young and why some species form family groups while other species have dispersed young have rarely been addressed. We tested a hypothesis that siblings should be more dispersed in space and move less in species that have offspring with poor locomotor abilities to reduce the chance of the loss of the whole brood. In contrast, siblings should aggregate and move more when their mobility and ability to avoid predators is strong. We tested this hypothesis using songbirds because cavity- versus open-cup-nesting species strongly contrast in nesting strategy. Offspring of species that nest in cavities leave the nest with well-developed wings and initially are more mobile and incur lower predation rates than fledglings of species that nest in open-cups. We used radiotelemetry to track fledglings of three cavity- and three open-cup-nesting songbird species to test whether young differ in spatial dispersion and movement behaviour between nest types. We found that mobile young of cavity-nesting species moved farther on a daily basis but remained more aggregated as a family than the less mobile young of open-cup-nesting species. Movement distances increased with mobility as young aged, especially in open-cup-nesting species, but families of open-cup-nesting species remained dispersed throughout the first week after fledging. This variation in spatial dispersion and movement behaviour of young can have important implications for parental care strategies and juvenile survival.",2022,164,486,493,,10.1111/ibi.13027,http://dx.doi.org/10.1111/ibi.13027,0,,,,
2022-42,"Bose, APH",Parent-offspring cannibalism throughout the animal kingdom: a review of adaptive hypotheses,BIOLOGICAL REVIEWS,"Parents that kill and consume their offspring often appear to be acting against their own reproductive interests. Yet parent-offspring cannibalism is common and taxonomically widespread across the animal kingdom. In this review, I provide an overview of our current understanding of parent-offspring cannibalism, which has seen a proliferation in adaptive hypotheses over the past 20 years for why parents consume their own young. I review over four decades of research into this perplexing behaviour, drawing from work conducted on fishes, reptiles, insects, birds, and mammals among other taxa. Many factors have been hypothesised to explain parent-offspring cannibalism in nature, including poor parental energy reserves, small or large brood sizes, low or uncertain parentage, and high brood densities, and additional factors are still being uncovered. Parent-offspring cannibalism does not appear to have a single predominant explanation; rather, the factor, or set of factors, that govern its expression is largely taxon specific. Parents may either consume all offspring under their care (full-brood cannibalism) or consume a fraction of their offspring (partial brood cannibalism). These forms of cannibalism are thought to provide adaptive benefits to cannibals under a range of circumstances, primarily by allowing parents to allocate parental efforts more optimally - energy from eating (some of) one's current offspring can be redirected to other offspring, or to parental growth, survival, and ultimately to other future reproductive endeavours. Thus, parent-offspring cannibalism is a phenotypically plastic trait that responds to changing environmental, social, and physiological conditions. The expression of parent-offspring cannibalism in any given system is intimately linked to the reproductive value of current young relative to parents' expectations for future reproduction, and also to whether parental care is predominantly depreciable or non-depreciable. Furthermore, parent-offspring cannibalism has the potential to generate conflict between the sexes, and I briefly discuss some consequences of this conflict on patterns of mate choice. Finally, there still remain many aspects of this behaviour where our understanding is poor, and I highlight these topics to help guide future research.",2022,97,1868,1885,,10.1111/brv.12868,http://dx.doi.org/10.1111/brv.12868,0,,,,
2022-43,"Lownie, TJR; Jubinville, I; Williams, TD; Phillips, RA; Crossin, GT",Varying aerobic capacity in relation to breeding stage and reproductive success in giant petrels (Macronectes spp.),COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,"Reproduction, and parental care in particular, are among the most energy-demanding activities within the annual cycle of adult birds. Parents that cannot meet the metabolic demands and other physiological costs of raising offspring may opt to abandon chicks in favour of self-maintenance and future reproduction. Recent work examining reproductive trade-offs in birds revealed an important role of oxygen carrying capacity in mediating variation in parental effort. This study explores the aerobic factors underlying the success or failure of parental care in two closely-related petrel species during their breeding season on Bird Island, South Georgia: northern giant petrels (Macronectes halli) and southern giant petrels (M. giganteus). Failed breeders of both sexes and species had significantly lower hematocrit levels (by 5.48 +/- 0.64%) than successful breeders, and reticulocyte counts also tended to be lower in failed males, consistent with the hypothesis that parental care and workload depend on aerobic capacity. We discuss these results in relation to differences in the foraging ecology of both species and sexes.",2022,266,,,111155,10.1016/j.cbpa.2022.111155,http://dx.doi.org/10.1016/j.cbpa.2022.111155,0,,,,
2022-44,"Hagler, SJ; Gibbons, A; Bednarz, JC; Clark, WS; Bonter, DN",NEST PROVISIONING AND SOCIALITY AT HARRIS'S HAWK NESTS IN SOUTH TEXAS,JOURNAL OF RAPTOR RESEARCH,"The Harris's Hawk (Parabuteo unicinctus), a social raptor species, often breeds and hunts cooperatively in groups typically consisting of a dominant breeding pair and one or more auxiliary group members. Why these birds form social groups is not completely understood, but one hypothesis is that the ability to hunt cooperatively may benefit groups with a higher hunting success rate or facilitate the capture of larger prey than an individual hawk could catch on its own. To test the hypothesis that group hunting affects patterns of prey delivery and the types of prey delivered to nests, we recorded videos of prey deliveries in May and June at nests of five breeding groups and five breeding pairs in Cameron County and Willacy County, 'texas. In contrast to the diets of Harris's Hawks in New Mexico and Arizona that depend heavily on lagomorphs, we documented mostly avian prey items (39.1% of prey deliveries) and rodent prey items (39.1%), and only 0.7% lagomorphs (n= 284 prey items recorded). Significantly more prey items per day were delivered to nests with more nestlings. Importantly, and contrary to our hypothesis, pairs delivered more prey items per day on average than groups; this pattern was not significant, but this may be attributable in part to a small sample size of nests. These results suggest that the presence of auxiliaries may not necessarily provide direct benefits to offspring during the nest provisioning stage at late spring and summer nests in south Texas.",2022,56,161,170,,10.3356/JRR-21-39,http://dx.doi.org/10.3356/JRR-21-39,1,1,1,,1
2022-45,"Lange, L; Brischoux, F; Lourdais, O",Benefits of paternal thermoregulation: male midwife toads select warmer temperature to shorten embryonic development,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,"Parental thermoregulation can provide an efficient way to control embryonic temperature and optimize developmental durations and timing. To date, most studies on parental thermal effects have focused on maternal influences, because of the predominant role of females for parental care in most systems. Yet, paternal thermal effects are equally expected to occur in species that display paternal care to the progeny. We studied the midwife toad, a small amphibian with exclusive male parental care and terrestrial eggs transport. We examined the variations of body temperature of egg-carrying males and non-reproductive individuals in the field, and determined their thermal preferences in a laboratory thermal gradient. We also experimentally examined the influence of temperature on embryonic development durations across five treatments (16, 18, 20, 22, 24 degrees C). In support of our predictions, we detected a shift in thermal preferences with reproduction, with carrying males preferring higher temperatures than non-carrying ones. Field monitoring indicated that carrying males used diurnal shelters early in the season when thermal conditions were more constraining. Meanwhile, they minimized overheating risks by avoiding shelters with high substrate temperature. Finally, we detected a marked thermal dependence of embryonic development, suggesting potential phenological benefits of paternal thermoregulation in this species. Significance statement Paternal thermal care is well known among birds during incubation but male thermal care and thermal effects remain virtually unstudied among terrestrial ectotherms. In ectotherms, body temperature directly depends on the thermal environment and behavioral thermoregulation can influence developmental durations and offspring traits. We studied the midwife toad, a species that display exclusive male parental care with terrestrial egg transport. Our results demonstrate that carrying males selected preferred higher temperatures than non-reproductive individuals in a thermal gradient but also avoided thermal extreme in the field. The duration of development was considerably shortened at the temperature selected by reproductive male. Our study provides evidences of active paternal thermoregulation for an amphibian species with exclusive male parental care.",2022,76,,,48,10.1007/s00265-022-03155-z,http://dx.doi.org/10.1007/s00265-022-03155-z,0,,,,
2022-46,"Amat, JA; Rendo, MA",Interspecific differences in brood desertion by female diving ducks in relation to duckling age and environmental conditions,AVIAN BIOLOGY RESEARCH,"Studies on brood desertion in birds have been mainly conducted on species with biparental care, and less often on uniparental species. Females of many duck species remain with their ducklings, unassisted by males, during variable periods of time before the chicks can fledge. In this paper, we examined factors that influence brood desertion by female red-crested pochards (Netta rufina), common pochards (Aythya ferina) and white-headed ducks (Oxyura leucocephala) during a 10-year period in lakes in southern Spain that experienced interannual variations in water levels. At an interspecific level, we found that brood desertion was less frequent in the species that nested earlier (red-crested pochard), while it was more frequent in the species that nested later (white-headed duck). Larger (older) ducklings were deserted more frequently than smaller ones in the three species. However, an interaction between flooding conditions in wetlands and species identity on brood desertion, after accounting for chick age, suggests that there were variations between the ducklings of the three species in their requirements for maternal care, conditioned by environmental conditions. Therefore, our study indicates that environmental conditions may affect parental care. A longer duration of brood attendance by female ducks may buffer against adverse effects of environmental conditions.",2022,15,194,200,,10.1177/17581559221135367,http://dx.doi.org/10.1177/17581559221135367,0,,,,
2022-47,"Farrar, VS; Flores, L; Viernes, RC; Pereira, LO; Mushtari, S; Calisi, RM","Prolactin promotes parental responses and alters reproductive axis gene expression, but not courtship behaviors, in both sexes of a biparental bird",HORMONES AND BEHAVIOR,"Prolactin, a hormone involved in vertebrate parental care, is hypothesized to inhibit reproductive hypothalamicpituitary-gonadal (HPG) axis activity during parenting, thus maintaining investment in the current brood as opposed to new reproductive efforts. While prolactin underlies many parental behaviors in birds, its effects on other reproductive behaviors, such as courtship, remain unstudied. How prolactin affects neuropeptide and hormone receptor expression across the avian HPG axis also remains unknown. To address these questions, we administered ovine prolactin (oPRL) or a vehicle control to both sexes in experienced pairs of the biparental rock dove (Columba livia), after nest removal at the end of incubation. We found that oPRL promoted parental responses to novel chicks and stimulated crop growth compared to controls, consistent with other studies. However, we found that neither courtship behaviors, copulation rates nor pair maintenance differed with oPRL treatment. Across the HPG, we found oPRL had little effect on gene expression in hypothalamic nuclei, but increased expression of FSHB and hypothalamic hormone receptor genes in the pituitary. In the gonads, oPRL increased testes size and gonadotropin receptor expression, but did not affect ovarian state or small white follicle gene expression. However, the oviducts of oPRL-treated females were smaller and had lower estrogen receptor expression compared with controls. Our results highlight that some species, especially those that show multiple brooding, may continue to express mating behavior despite elevated prolactin. Thus, mechanisms may exist for prolactin to promote investment in parental care without concurrent inhibition of reproductive function or HPG axis activity.",2022,144,,,105217,10.1016/j.yhbeh.2022.105217,http://dx.doi.org/10.1016/j.yhbeh.2022.105217,0,,,,
2022-48,"Hope, SF; Schmitt, L; Lourdais, O; Angelier, F","Nature vs. Nurture: Disentangling the Influence of Inheritance, Incubation Temperature, and Post-Natal Care on Offspring Heart Rate and Metabolism in Zebra Finches",FRONTIERS IN PHYSIOLOGY,"A historic debate in biology is the question of nature vs. nurture. Although it is now known that most traits are a product of both heredity (nature) and the environment (nurture), these two driving forces of trait development are rarely examined together. In birds, one important aspect of the early developmental environment is egg incubation temperature. Small changes (<1 degrees C) in incubation temperature can have large effects on a wide-array of offspring traits. One important trait is metabolism, because it is related to life-history traits and strategies, organismal performance, and energetic and behavioral strategies. Although it has been shown that embryonic and post-hatch metabolism are related to egg incubation temperature, little is known about how this may vary as a function of genetic differences or post-hatching environmental conditions. Here, we investigated this question in zebra finches (Taeniopygia guttata). We experimentally incubated eggs at two different temperatures: 37.5 degrees C (control), which is optimal for this species and 36.3 degrees C (low), which is suboptimal. We first measured embryonic heart rate as a proxy of embryonic metabolic rate. Then, at hatch, we cross-fostered nestlings to differentiate genetic and pre-hatching factors from post-hatching environmental conditions. When offspring were 30 days-old, we measured their resting metabolic rate (RMR; within the thermoneutral zone) and thermoregulatory metabolic rate (TMR; 12 degrees C; birds must actively thermoregulate). We also measured RMR and TMR of all genetic and foster parents. We found that embryonic heart rate was greater in eggs incubated at the control temperature than those at the low temperature. Further, embryonic heart rate was positively related to genetic father RMR, suggesting that it is both heritable and affected by the pre-natal environment. In addition, we found that post-hatch metabolic rates were positively related to genetic parent metabolic rate, and interactively related to incubation temperature and foster mother metabolic rate. Altogether, this suggests that metabolism and the energetic cost of thermoregulation can be influenced by genetics, the pre-natal environment, and the post-natal environment. Our study sheds light on how environmental changes and parental care may affect avian physiology, as well as which traits may be susceptible to natural selection.",2022,13,,,892154,10.3389/fphys.2022.892154,http://dx.doi.org/10.3389/fphys.2022.892154,0,,,,
